date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:05:23	62302/62302	---M-Z	200	added ('OK')	text/html	etag:%22295-1651535155;gz%22	https://roboinstarenda.site/	C:/Users/Mirela/Desktop/pagina%20de%20vendas/PVROBO/roboinstarenda.site/index.html	(from )
23:05:23	115/115	---M-Z	200	added ('OK')	text/plain	etag:%22298-1651543522;gz%22	https://roboinstarenda.site/robots.txt		(from )
23:05:24	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2003%20May%202022%2002:05:24%20GMT	http://roboinstarenda.site/wp-content/litespeed/css/d93703629c2408672f41ac81ada3f440.css?ver=8b203	C:/Users/Mirela/Desktop/pagina%20de%20vendas/PVROBO/roboinstarenda.site/wp-content/litespeed/css/d93703629c2408672f41ac81ada3f440.0e1f2.delayed	(from https://roboinstarenda.site/)
23:05:24	158940/158940	---M-Z	200	added ('OK')	text/css	etag:%2226cdc-626eccfa-d096be106b04879c;gz%22	https://roboinstarenda.site/wp-content/litespeed/css/d93703629c2408672f41ac81ada3f440.css?ver=8b203	C:/Users/Mirela/Desktop/pagina%20de%20vendas/PVROBO/roboinstarenda.site/wp-content/litespeed/css/d93703629c2408672f41ac81ada3f440e1f2.css	(from https://roboinstarenda.site/)
23:05:26	54794/54794	---MCZ	200	added ('OK')	application/json	etag:%22299-1651543525;gz%22	https://roboinstarenda.site/wp-json/wp/v2/pages/2	C:/Users/Mirela/Desktop/pagina%20de%20vendas/PVROBO/roboinstarenda.site/wp-json/wp/v2/pages/2.json	(from https://roboinstarenda.site/)
23:05:27	175756/175756	---MCZ	200	added ('OK')	application/json	etag:%22300-1651543527;gz%22	https://roboinstarenda.site/wp-json/	C:/Users/Mirela/Desktop/pagina%20de%20vendas/PVROBO/roboinstarenda.site/wp-json/index.html	(from https://roboinstarenda.site/)
23:05:27	1710/1710	---M-Z	200	added ('OK')	application/rss+xml	etag:%22d899fcb60e846eab6919f0b7d38c04d6%22	https://roboinstarenda.site/feed/	C:/Users/Mirela/Desktop/pagina%20de%20vendas/PVROBO/roboinstarenda.site/feed/index.html	(from https://roboinstarenda.site/)
23:05:27	748/748	---M-Z	200	added ('OK')	application/rss+xml	etag:%22cad92453eaa7fe87180a3ae2ac86cdab%22	https://roboinstarenda.site/pagina-exemplo/feed/	C:/Users/Mirela/Desktop/pagina%20de%20vendas/PVROBO/roboinstarenda.site/pagina-exemplo/feed/index.html	(from https://roboinstarenda.site/)
23:05:27	1694/1694	---M-Z	200	added ('OK')	application/rss+xml	etag:%22cad92453eaa7fe87180a3ae2ac86cdab%22	https://roboinstarenda.site/comments/feed/	C:/Users/Mirela/Desktop/pagina%20de%20vendas/PVROBO/roboinstarenda.site/comments/feed/index.html	(from https://roboinstarenda.site/)
23:05:28	828/828	---M-Z	200	added ('OK')	text/xml	date:Tue,%2003%20May%202022%2002:05:27%20GMT	https://roboinstarenda.site/xmlrpc.php?rsd	C:/Users/Mirela/Desktop/pagina%20de%20vendas/PVROBO/roboinstarenda.site/xmlrpc0db0.php	(from https://roboinstarenda.site/)
